PartyID,PartyName,LicenseTypeID,LicenseType,SM1_Name,SM3_Name,City,Cases,TrueChannel,Verdict,Notes
D01306,SADASHIV WINES,180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,  7,11.0,KW Beer,,
D00304,SAMRAT WINES.(NAVI SANGAVI),180001,FL II (Wine shop),Z VIJAY BHAIKATTE,SURESH NAIR,,11.0,KW Beer,,
D01476,LUCKY LAXMI WINE (WARJE),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5,10.0,KW Beer,,
D01375,HIRA MOTI WINES (PIMPRI),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D00108,KHUSHBOO WINES (KARVE NAGAR),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5,10.0,KW Beer,,
D01989,ASHOKA WINES.(THERGAON),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D01951,AGARWAL WINES (PIMPRI),180001,FL II (Wine shop),,SURESH NAIR,PUNE,10.0,KW Beer,,
D00616,SAFEWAY WINES (KHED),180001,FL II (Wine shop),,SURESH NAIR,PUNE,10.0,KW Beer,,
D07236,VIJAY HARBANSLAL KATIYAL (MAUZE MAHLUNGE),180006,CL III (OTHERS),,SURESH NAIR,PUNE,10.0,KW Beer,,
D07209,SHAM BEER SHOPPE (KALEWADI),180004,Beer Shopee,,SURESH NAIR,,10.0,KW Beer,,
D07173,KUNAL WINE MART ( INDRANINAGAR ),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,10.0,KW Beer,,
D02544,SAKSHI BEER SHOPPE(PIMPRI),180004,Beer Shopee,,SURESH NAIR,PUNE,10.0,KW Beer,,
D02597,YASH KARAN BEER SHOPEE(TATHAWADE),180004,Beer Shopee,,SURESH NAIR,PUNE,10.0,KW Beer,,
D06509,LOVERS BEER SHOPEE (WAGHOLI),180004,Beer Shopee,,SURESH NAIR,PUNE,9.0,KW Beer,,
D07747,SARJA RESTAURANT & BAR (AMBI) (1945),180002,FL III (Permit Room),,SURESH NAIR,PUNE CITY,8.9744,Institution,,
D07250,ASHOKA BEER SHOPPE(CHINCHWAD),180004,Beer Shopee,,SURESH NAIR,PUNE,8.0,KW Beer,,
D00161,V R WINES (BANER RD),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  8,8.0,KW Beer,,
D00956,KUNAL WINES(TALEGAON),180001,FL II (Wine shop),,SURESH NAIR,PUNE,7.0,KW Beer,,
D00013,G.S.P WINES.(AUNDH),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  8,7.0,KW Beer,,
D00154,PARDESHI WINES,180001,FL II (Wine shop),SHASHANK,SURESH NAIR,  5,7.0,KW Beer,,
D06760,K.R.BEER AND WINE SHOPEE(WAKAD),180004,Beer Shopee,,SURESH NAIR,PUNE,7.0,KW Beer,,
D06871,WAGHADE WINES ( RAVET ),180001,FL II (Wine shop),,SURESH NAIR,PUNE,6.0,KW Beer,,
D07216,ROYAL BEER SHOPEE (MULSHI),180004,Beer Shopee,,SURESH NAIR,,6.0,KW Beer,,
D07213,SHARAYU BEER SHOPPY (DAPODI),180004,Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D07262,MEGHA HIGHWAY BEER SHOPEE,180004,Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D01345,ARYAN BEER SHOPPY (KOTHRUD),180004,Beer Shopee,,SURESH NAIR,PUNE,5.0,KW Beer,,
D07219,S. S. S. WINE & BEER SHOPEE,180004,Beer Shopee,,SURESH NAIR,PUNE,4.0,KW Beer,,
D00040,C.R.AGARWAL WINES (KIRKEE),180001,FL II (Wine shop),SHASHANK,SURESH NAIR,PUNE,4.0,KW Beer,,
D00187,SHAKUN WINES,180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,  3,4.0,KW Beer,,
D07251,PYASA BEER SHOPEE (TALWADE),180004,Beer Shopee,,SURESH NAIR,PUNE,4.0,KW Beer,,
D07233,THE THIRSTY HOPE BEER &WINE SHOP (KOTHRUD),180004,Beer Shopee,,SURESH NAIR,PUNE,3.0,KW Beer,,
D07196,SONA  COUNTRY BAR (DANGE CHOWK),180006,CL III (OTHERS),,SURESH NAIR,,3.0,KW Beer,,
D07201,S S BEER SHOPEE (HINJEWADI),180004,Beer Shopee,,SURESH NAIR,,3.0,KW Beer,,
D02518,UNITED WINES.(ABHAY WINES),180001,FL II (Wine shop),,SURESH NAIR,PUNE,2.0,KW Beer,,
D06150,MAYUR BEER SHOPPE (PIMPRI),180004,Beer Shopee,CROSS SUPPLY,SURESH NAIR,PUNE,2.0,KW Beer,,
D07044,SAB TONIQUE BEVEREGES LLP (TONIQUE),180001,FL II (Wine shop),SACHIN KAMBLE,SURESH NAIR,PUNE,2.0,KW Beer,,
D06801,ANAND HOTEL (RANJHANGAON),180002,FL III (Permit Room),CROSS SUPPLY,,PUNE,2.0,Institution,,
D06907,SHRADHA GARDEN (MULSHI),180002,FL III (Permit Room),RAJESH,SURESH NAIR,PUNE,2.0,Institution,,
D07202,SWARAJ BEER SHOPPE (RAHATANI),180004,Beer Shopee,,SURESH NAIR,,2.0,KW Beer,,
D02441,RASAGANDHA (GANDHARVA ) RESTAURANT (SHIVAJINAGAR),180002,FL III (Permit Room),PRASHANT THORAT,SURESH NAIR,PUNE,2.0,Institution,,
D02069,ANTIQUE WINES (PIMPLE SOU),180001,FL II (Wine shop),CROSS SUPPLY,SURESH NAIR,PUNE,1.0,KW Beer,,
D06784,K S B WINE WOLD BEER SHOP,180004,Beer Shopee,,SURESH NAIR,PUNE,1.0,KW Beer,,
