PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D07494,GOA WINES,180001,FL II (Wine shop),SM3=SURESH NAIR,0.0,280.0,PUNE CITY,,"GREEN BUILDING PRO . FARM P NO 60 , RANJANGAON MIDC , TAL SHIRUR , PUNE ",,
D07371,GOKUL BEEER SHOPEE (KALAMB MANCHAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,15.0,,,"SR NO 227/7,TAVAJI MALA, SHOP NO 2, KALAMB, TAL AMBEGAON] DIST PUNE",,
D02032,GOLD WINES,180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,0.0,5.0,PUNE,,SHIVAJI NAGAR BHANDARKAR  ROAD PUNE,,
D07372,GOODLUCK BEER SHOPEE (LONAVALA),180004,Beer Shopee,SM3=SURESH NAIR,0.0,30.0,,,"SHOP NO.3,SHANTIVAN, NAGARGAON, LONAVALA,TAL-MAVAL,PUNE.",,
D00081,GOYAL WINES,180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=OMKAR PAWAR,0.0,15.0,  6,411 002,"2/37,NEW MODIKHANA OLD POOL GATE,BHAWANI PETH, PUNE-1",,
D05977,GREEN COURT HOTEL ( FATIMANGAR ),180002,FL III (Permit Room),SM1=MIRAN DMELLO Â· SM3=OMKAR PAWAR,0.0,5.0,PUNE,,"S NO 14/1, A+1B, SHRADHA REGENCY, FATIMANAGAR, PUNE",,
D07370,GREEN VALLEY RESTAURANT AND BAR (KHED)	,180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,0.0,,,"AT POST NIGHOJE KHED PUNE 410501,NIGHOJE",,
D02682,HANG OUT RESTO & BAR,180002,FL III (Permit Room),SM1=TULSIRAM Â· SM3=ABID,0.0,0.0,PUNE,,SHOP NO 1 TO 5 NO 28/27 MILKAT NO 5/189 NIKITA ARCED DHAYARI PUNE,,
D06297,HANGOUT BEER SHOPPEE (KESHAVNGR),180004,Beer Shopee,SM3=OMKAR PAWAR,0.0,151.0,PUNE,,"SR NO, 33ASHTA-VINAYAK ORBIC SCHOOL MUNDHWA",,
D00234,HARBANS DAYA WINES,180001,FL II (Wine shop),SM1=CROSS SUPPLY,0.0,11.0,  5,411 009,"SR.NO.91/4,SHOP NO.9,VINOD VASTI,PIMPRI-CHINCHWAD,WAKAD,TAL- MULSHI,DIST-PUNE",,
